Dutch,English
Hallo,Hello
Dag,Day
Ja,Yes
Nee,No
Dank u,Thank you
Alsjeblieft,Please
Sorry,Sorry
Help,Help
Liefde,Love
Vriend,Friend
Familie,Family
Tijd,Time
Dag,Day
Nacht,Night
Week,Week
Maand,Month
Jaar,Year
Zon,Sun
Maan,Moon
Ster,Star
Water,Water
Vuur,Firework
Aarde,Soil
Lucht,Sky
Eten,To eat
Drinken,Drinks
Eten,To eat
Slapen,To sleep
Wakker worden,Waking
Ren,Run
Loop,Run
Stop,Stop
Ga,Go
Blij,Pleased
Verdrietig,Sad
Boos,Angry
Lach,Smile
Huil,Cry
Zing,Sing
Dans,Dance
Speel,Play
Lees,read
Schrijf,Writing
Leer,Doctrine
Onderwijs,Education
Luister,Listen
Spreek,Speak
Zie,See
Hoor,Hear
Raak aan,Touch
Proef,Trial
Ruik,Smell
Groot,Big
Klein,Small
Heet,Is called
Koud,Cold
Nieuw,New
Oud,Old
Goed,Good
Slecht,Bad
Mooi,Nice
Lelijk,Ugly
Snel,Fast
Langzaam,Slowly
Sterk,Strong
Zwak,Weak
Blij,Pleased
Verdrietig,Sad
Grappig,Funny
Serieus,Serious
Belangrijk,Important
Makkelijk,Comfortable
Moeilijk,Difficult
Eerste,First
Laatste,Last
E̩n,A
Twee,Two
Drie,Three
Vier,Four
Vijf,Five
Zes,Six
Zeven,Seven
Acht,Eight
Negen,Nine
Tien,Ten
Ik,I
Jij,you
Hij,He
Zij,She
Wij,We
Zij,She
U,YOU
Dit,This
Dat,That
Hier,Here
Daar,Over there
Nu,Now
Dan,Than
En,And
Of,Or