Spanish,English
Hola,Hello
Adiós,Bye
Sí,Yeah
No,No
Gracias,Thank you
Por favor,Please
Perdón,Sorry
Ayuda,Aid
Amor,Love
Amigo,Friend
Familia,Family
Tiempo,Time
Día,Day
Noche,Evening
Semana,Week
Mes,Month
Año,Year
Sol,Sun
Luna,Moon
Estrella,Star
Agua,Water
Fuego,Fire
Tierra,Land
Aire,Air
Comida,Meal
Bebida,Drink
Comer,Eat
Dormir,Sleep
Despertar,Wake up
Correr,Run
Caminar,Walk
Parar,Stall
Ir,Go
Feliz,Happy
Triste,Sad
Enojado,Angry
Reír,Laugh
Llorar,Cry
Cantar,Sing
Bailar,Dance
Jugar,Play
Leer,Read
Escribir,Write
Aprender,Learn
Enseñar,Teach
Escuchar,Hear
Hablar,Talk
Ver,See
Oír,Hear
Tocar,Tap
Probar,Prove
Oler,Smell
Grande,Big
Pequeño,Little
Caliente,Hot
Frío,Cold
Nuevo,New
Viejo,Old
Bueno,Well
Malo,Bad
Hermoso,Beautiful
Feo,Ugly
Rápido,Fast
Lento,Slow
Fuerte,Strong
Débil,Weak
Contento,Glad
Triste,Sad
Gracioso,Funny
Serio,Serious
Importante,Important
Fácil,Easy
Difícil,Difficult
Primero,First
Último,Last
Uno,One
Dos,Two
Tres,Three
Cuatro,Four
Cinco,Five
Seis,Six
Siete,Seven
Ocho,Eight
Nueve,Nine
Diez,Ten
Yo,I
Tú,You
Él,He
Ella,She
Nosotros,Us
Ellos,They
Ustedes,You
Esto,This
Eso,That
Aquí,Here
Allí,Over there
Ahora,Now
Luego,Then
Y,AND
O,EITHER